Motivo CIAP-2,Pacientes Únicos (N),Proporção (%)
P99-OUTRAS PERTURBAÇÕES PSICOLÓGICAS,19,11.66
P98-OUTRAS PSICOSES NE,13,7.98
P01-SENSAÇÃO DE ANSIEDADE/NERVOSISMO/TENSÃO,12,7.36
P72-ESQUIZOFRENIA,10,6.13
P19-ABUSO DE DROGAS,9,5.52
P06-PERTURBAÇÃO DO SONO,8,4.91
P74-DISTÚRBIO ANSIOSO/ESTADO DE ANSIEDADE,8,4.91
P03-TRISTEZA/ SENSAÇÃO DE DEPRESSÃO,5,3.07
"P29-SINAIS/SINTOMAS PSICOLÓGICOS, OUTROS",5,3.07
K86-HIPERTENSÃO SEM COMPLICAÇÕES,4,2.45
P77-SUICÍDIO/TENTATIVA DE SUICÍDIO,3,1.84
P76-PERTURBAÇÕES DEPRESSIVAS,2,1.23
L16-SINAIS/SINTOMAS DO TORNOZELO,2,1.23
N07-CONVULSÕES/ATAQUES,2,1.23
N88-EPILEPSIA,2,1.23
N01-CEFALÉIA,2,1.23
 -31-EXAME MÉDICO/AVALIAÇÃO DE SAÚDE - PARCIAL,1,0.61
U01-DISÚRIA/MICÇÃO DOLOROSA,1,0.61
N80-OUTRAS LESÕES CRANIANAS,1,0.61
K85-PRESSÃO ARTERIAL ELEVADA,1,0.61
P85-RETARDO/ ATRASO MENTAL,1,0.61
P73-PSICOSE AFETIVA,1,0.61
P70-DEMÊNCIA,1,0.61
D01-DOR ABDOMINAL GENERALIZADA/CÓLICAS,1,0.61
S07-ERUPÇÃO CUTÂNEA GENERALIZADA,1,0.61
U08-RETENÇÃO URINÁRIA,1,0.61
R21-SINAIS/SINTOMAS DA GARGANTA,1,0.61
U72-URETRITE,1,0.61
F05-OUTRAS PERTURBAÇÕES VISUAIS,1,0.61
"R02-DIFICULDADE RESPIRATÓRIA, DISPNEIA",1,0.61
Y25-MEDO DE DOENÇA SEXUALMENTE TRANSMISSÍVEL,1,0.61
K99-OUTRAS DOENÇAS DO APARELHO CIRCULATÓRIO,1,0.61
P04-SENTIR/COMPORTAR-SE DE FORMA IRRITÁVEL/ZANGADA,1,0.61
L14-SINAIS/SINTOMAS DA COXA/PERNA,1,0.61
P80-PERTURBAÇÕES DE PERSONALIDADE,1,0.61
R96-ASMA,1,0.61
K73-MALFORMAÇÕES CONGÊNITAS DO APARELHO CIRCULATÓRIO,1,0.61
D95-FISSURA ANAL / ABCESSO PERIANAL,1,0.61
R75-SINUSITE CRÔNICA/AGUDA,1,0.61
